city,lat,lng,population,density
Dunsmuir,49.3696,-124.5772,1330,62.3
Telkwa,54.6972,-127.05,1327,191.9
Sorrento,50.8832,-119.4782,1285,108.3
Kaleden,49.3926,-119.5955,1203,278.7
Salmo,49.1942,-117.2778,1141,466.2
Windermere,50.4856,-115.9948,1092,104
Youbou,48.8562,-124.1731,1086,122.8
Ootischenia,49.2916,-117.6323,1080,135.4
Valemount,52.8284,-119.2659,1021,197.6
Hudson Hope,56.0316,-121.9057,1012,1.1
